Unnamed: 0,text_len,word_count,t,t_filter_10000,revision_t/len,jumps,chunks,word_t/t_filter_10000,separator_t/t_filter_10000,revision_t/t_filter_10000,test_col1,test_col2
KolmogorovDeflate_value,0.9159016266772141,0.88,0.0914282999433959,0.67,0.000553147741066805,0.29,0.17,0.05,0.12,0.04,0,22
Lexical.Density_value,0.0391463384119251,-0.09,0.05890161140762799,0.06,0.0118242402319762,0.02,0.01,0.1,-0.12,-0.02,1,21
Lexical.Diversity.CNDW_value,-0.527609330900311,-0.59,-0.0284901015060608,-0.39,-0.00390916681060466,-0.18,-0.1,0.03,-0.14,-0.04,2,20
Lexical.Diversity.CTTR_value,0.670748706297898,0.67,0.0854324443694326,0.52,0.0077728845718749795,0.22,0.14,0.02,0.12,0.03,3,19
Lexical.Diversity.NDW_value,0.9260543349371441,0.95,0.10269309312277,0.7,0.0144968817118051,0.29,0.18,-0.0,0.17,0.05,4,18
Lexical.Diversity.RTTR_value,0.7254801980148441,0.72,0.0949113434714047,0.56,0.009433460626307741,0.23,0.14,0.01,0.14,0.04,5,17
Lexical.Diversity.TTR_value,-0.525377270544892,-0.59,-0.0261277013787112,-0.38,-0.00161294356815185,-0.17,-0.1,0.03,-0.14,-0.04,6,16
Lexical.Sophistication.AFL_value,0.11348870207985301,0.14,0.00791894656857079,0.08,-0.00661730505484755,0.03,0.02,0.01,0.01,0.0,7,15
Lexical.Sophistication.ANC_value,0.00863795790011581,-0.11,0.0640538768289983,0.06,0.0225935446874721,0.04,0.02,0.03,-0.03,-0.02,8,14
Lexical.Sophistication.BNC_value,-0.0595888960035977,-0.19,0.0486328015966606,-0.01,0.0104250619791377,0.01,0.0,0.06,-0.09,-0.03,9,13
Lexical.Sophistication.NAWL_value,0.0350641605782212,-0.01,0.0514318420614362,0.06,0.0141740002010866,0.02,0.01,0.04,-0.05,-0.0,10,12
Lexical.Sophistication.NGSL_value,-0.00436685702520535,-0.09,0.040803682606421,0.04,0.0140723673579626,0.03,0.02,-0.01,0.02,-0.03,11,11
Morphological.KolmogorovDeflate_value,-0.8786089687121479,-0.84,-0.0889482502216902,-0.65,-0.00210804596814643,-0.27,-0.16,-0.07,-0.11,-0.04,12,10
Morphological.MeanLengthWord_value,0.09160916202830302,-0.13,0.0701006859145325,0.1,0.007680632347989991,0.04,0.02,0.2,-0.23,-0.02,13,9
Morphological.MeanSyllablesPerWord_value,0.0760508279642529,-0.11,0.0726819713697628,0.1,0.0164995152275981,0.04,0.03,0.16,-0.2,-0.02,14,8
NounPhrasePostModificationWords_value,0.37713003368739595,0.36,0.0878062697711698,0.32,0.0202569841277915,0.16,0.11,-0.04,0.11,0.02,15,7
NounPhrasePreModificationWords_value,0.0558527139479234,0.03,0.0314964088842889,0.05,-0.005750096316704,0.03,0.01,0.01,0.01,-0.01,16,6
Syntactic.ClausesPerSentence_value,0.53239985825594,0.59,0.019483184031986,0.39,-0.0031737752055745303,0.17,0.1,-0.02,0.12,0.05,17,5
Syntactic.ComplexNominalsPerSentence_value,0.7100651657166072,0.7,0.0916071603136531,0.55,0.00956948214856979,0.24,0.15,0.01,0.11,0.03,18,4
Syntactic.CoordinatePhrasesPerSentence_value,0.380001964789003,0.35,0.0649030391394216,0.3,0.017616226151972,0.14,0.07,0.02,0.04,0.01,19,3
Syntactic.DependentClausesPerSentence_value,0.463980042557484,0.51,0.0267594689022854,0.34,-0.000633273181536845,0.14,0.09,0.0,0.09,0.04,20,2
Syntactic.KolmogorovDeflate_value,-0.7952641941616649,-0.76,-0.0782771739285699,-0.59,0.00277507783919417,-0.25,-0.15,-0.06,-0.1,-0.03,21,1
Syntactic.VerbPhrasesPerSentence_value,0.544110262546916,0.6,0.029524180399456,0.4,0.0010788541405906801,0.16,0.1,0.01,0.1,0.05,22,0
